,1,2,3,4,5
av_her,0,3,21,2,15
av_incas,4,11,2,3,5
av_independent,25,6,5,10,2
av_juan,30,11,8,26,19
av_jujuy,11,6,6,12,0
av_libert,11,27,71,13,46
av_monro,2,16,9,0,3
av_nazc,13,4,1,10,5
av_pedr,6,1,7,3,10
av_plat,32,8,1,72,3
av_pueyrredon,5,3,7,8,21
av_rios,19,8,1,11,1
av_rivadavi,64,20,10,57,25
av_san,49,26,20,30,26
av_sant,9,32,42,6,48
av_scalabrini,5,5,4,5,20
av_triunvirat,4,10,11,3,5
avellaned_cucicb,5,15,5,2,0
aven_corrient,11,10,1,4,10
aven_sant,0,3,17,3,12
aã_antigued,19,6,10,26,14
aã_antigã¼ed,15,16,22,12,13
aã_exit,0,2,16,0,9
b_alberdi,9,5,2,14,7
b_estacion,8,13,4,6,11
b_just,42,20,5,31,28
b_public,6,5,1,9,13
baj_10,0,26,12,0,0
baj_2,5,8,2,3,7
baj_ampli,13,4,7,4,3
baj_belgran,0,4,11,6,4
baj_contrafrent,11,0,5,12,2
baj_descubiert,0,0,37,0,0
baj_expens,87,48,51,61,55
baj_frent,22,8,5,8,9
baj_living,28,4,5,14,7
baj_mes,52,52,50,35,46
baj_pati,8,4,4,9,3
balcn_terraz,6,0,0,13,4
balcon_1,3,9,1,1,11
balcon_2,19,13,6,9,13
balcon_3,14,7,7,4,23
balcon_4,8,2,5,3,8
balcon_ampli,19,4,9,8,11
balcon_aterraz,36,53,53,43,68
balcon_baã,17,17,3,13,36
balcon_buen,11,11,6,5,11
balcon_call,17,9,7,1,3
balcon_cocher,3,7,23,2,17
balcon_cocin,33,34,34,22,40
balcon_consult,2,11,0,0,16
balcon_contrafrent,19,24,19,5,18
balcon_corr,98,105,80,104,146
balcon_dormitori,10,5,1,5,9
balcon_edifici,4,7,13,5,12
balcon_excelent,4,6,8,4,6
balcon_franc,7,7,6,3,9
balcon_francã,11,18,4,3,17
balcon_frent,70,67,65,53,60
balcon_living,7,6,4,6,9
balcon_lumin,11,21,12,8,13
balcon_parrill,5,7,14,9,16
balcon_pati,9,6,3,6,9
balcon_pis,16,11,15,2,8
balcon_terraz,84,56,60,61,91
balcon_vist,20,20,27,13,22
balcã_n,63,63,58,62,94
ban_complet,22,10,4,6,11
bao_complet,17,5,3,28,14
barr_desayun,15,30,17,7,37
barrac_departament,5,2,0,17,3
barrac_terren,0,22,11,0,0
barranc_belgran,1,7,15,1,14
barri_barrac,5,22,11,5,0
barri_belgran,2,12,21,4,22
barri_boed,13,4,3,3,2
barri_caballit,1,15,11,5,11
barri_flor,18,7,0,12,19
barri_nort,17,29,39,15,47
barri_palerm,7,8,27,11,19
barri_parqu,35,23,11,9,4
barri_residencial,5,12,3,1,6
barri_saavedr,6,13,0,11,28
barri_san,12,19,12,10,17
barri_vill,18,22,7,8,17
barrionuev_cucicb,27,22,16,1,2
bas_febrer,3,33,36,0,0
bauler_cocher,2,1,2,3,17
bauler_optat,3,8,10,10,20
bauler_tip,1,20,5,1,1
bauler_u,0,2,51,4,0
bauler_ubic,3,11,1,4,10
baã_1,16,2,10,6,5
baã_2,19,5,3,9,6
baã_balcon,8,19,6,7,21
baã_cocin,78,28,28,69,52
baã_compl,12,6,6,3,6
baã_complet,481,346,275,341,497
baã_duch,15,9,9,11,9
baã_pis,3,4,15,7,5
baã_principal,8,8,3,2,4
baã_recicl,12,9,3,9,2
baã_servici,21,14,5,16,13
baã_suit,9,11,19,10,18
baã_toilett,19,18,17,13,32
baãƒ_complet,9,6,6,4,10
baãƒâ_complet,11,16,24,6,15
belfort_propiedad,11,9,19,11,16
belgran_1,0,5,28,0,2
belgran_2,5,4,30,1,2
belgran_3,0,8,23,1,3
belgran_apto,0,2,25,2,3
belgran_chic,4,3,6,1,10
belgran_r,11,16,19,7,16
bien_distribu,8,7,6,6,2
bien_raic,74,33,22,32,19
bien_ubic,22,6,5,13,13
boc_capital,10,0,1,14,2
boed_cercan,18,0,0,49,0
bolet_sald,24,8,5,19,18
bott_cucicb,12,7,22,13,1
boujon_mls,29,14,12,0,1
brokers_preci,9,1,3,5,11
brokers_propiedad,2,3,28,2,21
bs_as,2,2,13,4,10
buen_acces,4,6,38,4,0
buen_air,77,264,677,102,30
buen_calid,9,6,14,4,14
buen_categori,3,4,7,2,9
buen_condicion,13,6,6,3,16
buen_conservacion,8,2,1,12,4
buen_departament,56,47,30,47,49
buen_dept,5,7,0,6,2
buen_distribucion,19,16,12,9,19
buen_edifici,15,10,8,9,15
buen_general,15,6,4,17,15
buen_gust,17,8,12,7,12
buen_lumin,29,8,8,19,22
buen_luz,4,4,5,1,12
buen_ph,8,3,1,14,3
buen_pis,8,9,5,8,9
buen_ubicacion,39,41,19,27,45
buen_ubicaciã,7,8,1,7,3
buen_vist,6,11,18,7,12
c_b,9,4,3,8,6
c_balcon,7,8,9,13,10
c_c,11,9,5,22,13
c_dependent,9,1,11,6,9
c_m,20,16,15,4,0
c_p,19,16,15,4,0
c_placard,7,7,5,4,11
c_posesion,6,4,0,17,4
c_public,5,7,2,7,9
caballit_2,0,6,27,1,13
caballit_excelent,6,4,6,14,21
cac_bas,3,33,36,0,0
cac_cocher,3,29,38,3,4
cac_edifici,15,14,5,1,3
cac_posesion,19,10,24,0,0
calder_individual,4,7,5,2,33
calefaccion_central,5,7,3,6,7
calid_construccion,6,12,19,3,13
calid_construct,23,24,12,12,29
calid_pis,3,5,8,5,9
calient_central,16,25,17,16,21
cang_mls,21,19,3,0,0
capital_brokers,2,3,29,2,21
capital_federal,89,271,673,120,41
carl_alarcon,46,16,5,4,1
carl_calv,7,4,6,13,2
carl_trec,16,5,6,4,0
carl_vazquez,12,1,1,15,2
carl_vinogr,7,19,7,0,0
cas_2,20,0,1,18,2
cas_3,20,2,6,24,10
cas_4,22,0,4,23,10
cas_5,23,2,3,30,3
cas_estil,6,1,10,10,8
cas_lot,10,6,8,34,5
cas_vent,9,0,5,11,2
castr_reiss,5,1,0,7,18
categori_cocher,2,10,3,4,9
categori_excelent,7,11,15,2,13
categori_frent,0,7,38,1,4
categori_pis,3,5,5,4,8
caã_eri,7,5,13,8,2
caã_itas,3,14,36,7,20
centr_comercial,26,10,14,12,17
ceram_cocin,7,8,1,7,3
cerc_av,6,6,4,8,5
cerc_subt,3,10,7,3,7
cercan_subt,24,4,2,55,6
chacabuc_vent,15,3,0,20,7
champani_4330contact,186,106,108,29,12
citi_preci,2,2,16,1,6
ciud_buen,9,3,13,5,6
ciud_paz,0,6,9,6,6
cocher_2,10,1,5,4,8
cocher_apto,7,12,68,11,3
cocher_bauler,17,55,41,23,47
cocher_cubiert,24,47,53,22,46
cocher_cucicb,0,38,38,0,0
cocher_dispon,7,26,0,4,36
cocher_edifici,5,4,20,2,12
cocher_fij,38,68,93,46,105
cocher_opcional,17,25,45,13,42
cocher_optat,6,7,17,14,21
cocher_plant,6,0,37,4,5
cocher_u,4,30,9,1,2
cocin_1,13,6,5,3,3
cocin_2,11,4,3,8,10
cocin_3,7,2,1,12,5
cocin_abiert,5,9,11,3,6
cocin_american,19,21,28,8,37
cocin_ampli,21,7,15,12,13
cocin_barr,6,14,18,7,11
cocin_baã,92,46,29,57,48
cocin_c,7,10,3,2,3
cocin_comedor,192,87,85,218,154
cocin_complet,92,49,65,88,108
cocin_equip,21,14,9,26,15
cocin_espaci,12,6,2,6,6
cocin_gas,10,11,11,3,20
cocin_incorpor,37,23,18,23,22
cocin_independient,51,25,28,28,42
cocin_integr,126,173,143,88,164
cocin_lavader,67,50,36,61,64
cocin_living,10,6,10,7,11
cocin_muebl,32,11,19,16,13
cocin_offic,4,5,8,7,17
cocin_recicl,14,10,8,3,12
cocin_semi,15,23,12,7,9
cocin_separ,68,34,35,27,37
cocin_total,6,4,8,6,6
codig_2682mc,17,3,4,7,9
codig_673a,6,1,0,24,0
codig_ubic,72,46,38,87,77
colect_emprend,18,0,0,49,0
colect_subt,10,3,5,10,8
comedor_2,28,10,10,28,28
comedor_3,38,13,12,40,20
comedor_4,19,4,1,21,4
comedor_5,12,6,3,13,9
comedor_6,6,6,5,18,9
comedor_ampli,40,23,30,29,38
comedor_apais,1,9,10,8,14
comedor_balcon,34,24,51,34,54
comedor_baã,30,4,8,27,21
comedor_cocin,159,101,60,152,98
comedor_diari,136,75,67,160,108
comedor_dormitori,37,22,14,36,45
comedor_dos,22,8,3,18,15
comedor_escritori,7,5,9,10,9
comedor_frent,5,6,8,9,13
comedor_gran,9,7,8,5,8
comedor_l,10,7,19,7,21
comedor_lavader,15,6,11,16,7
comedor_living,13,1,4,8,3
comedor_pis,49,41,30,39,42
comedor_sal,61,36,61,26,89
comedor_toilett,11,11,18,13,17
